Date,Name,Type,Crop,Direction,Class,Pyf,Pys,Bel,Dyso,Ecc,CS,Lpoma,Pha,Pd,Pp,Unid,Poly,Can,Gob,Mal
29-01-2012,AIL4,E,,Below,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,AIL5,E,,Below,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29-01-2012,AIL3,E,,Below,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,Below,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,E,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,E,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,E,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN5,C,30,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,Below,0,26,28,0,0,0,0,0,0,1,0,0,0,0,0,0
31-01-2012,PN4,C,50,N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,E,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,E,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,E,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,E,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,W,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,PN4,C,50,W,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-2012,ALT1,E,,Below,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN6,C,50,Below,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN6,C,50,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN6,C,50,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN6,C,50,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN6,C,50,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN6,C,50,W,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN6,C,50,W,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN6,C,50,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN6,C,50,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN8,C,30,Below,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN8,C,30,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN8,C,30,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN8,C,30,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN8,C,30,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN8,C,30,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN8,C,30,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN8,C,30,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,PN8,C,30,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
